"";"species";"coord_model";"lat";"long";"year";"country"
"1";"Lonomia paraobliqua";1;-27,345;-54,437;2002;"Argentina"
"2";"Lonomia paraobliqua";1;-27,345;-54,437;2002;"Argentina"
"3";"Lonomia obliqua";1;-27,149;-54,708;2014;"Argentina"
"4";"Lonomia obliqua";0;NA;NA;2014;"Argentina"
"5";"Lonomia obliqua";0;-26,737;-54,432;2014;"Argentina"
"6";"Lonomia obliqua";1;-26,344;-54,155;2014;"Argentina"
"7";"Lonomia obliqua";1;-26,341;-54,051;2014;"Argentina"
"8";"Lonomia obliqua";1;-27,16;-54,48;2014;"Argentina"
"9";"Lonomia obliqua";1;-26,704;-53,917;2014;"Argentina"
"10";"Lonomia obliqua";1;-27,092;-54,935;2015;"Argentina"
"11";"Lonomia obliqua";1;-27,085;-53,98;2015;"Argentina"
"12";"Lonomia obliqua";1;-27,668;-55,043;2015;"Argentina"
"13";"Lonomia obliqua";1;-27,668;-55,043;2015;"Argentina"
"14";"Lonomia obliqua";1;-27,616;-54,957;2015;"Argentina"
"15";"Lonomia obliqua";1;-26,442;-54,142;2015;"Argentina"
"16";"Lonomia obliqua";0;-26,62;-54,107;2015;"Argentina"
"17";"Lonomia obliqua";0;-26,737;-54,432;2015;"Argentina"
"18";"Lonomia obliqua";1;-27,269;-54,733;2015;"Argentina"
"19";"Lonomia obliqua";1;-27,216;-54,743;2015;"Argentina"
"20";"Lonomia obliqua";1;-26,218;-54,061;2015;"Argentina"
"21";"Lonomia obliqua";1;-26,141;-53,717;2015;"Argentina"
"22";"Lonomia obliqua";1;-27,024;-54,472;2015;"Argentina"
"23";"Lonomia obliqua";1;-27,021;-54,559;2015;"Argentina"
"24";"Lonomia obliqua";1;-27,002;-54,476;2015;"Argentina"
"25";"Lonomia obliqua";1;-26,942;-54,408;2015;"Argentina"
"26";"Lonomia obliqua";1;-26,166;-53,709;2016;"Argentina"
"27";"Lonomia obliqua";1;-27,172;-54,3;2016;"Argentina"
"28";"Lonomia obliqua";1;-27,11;-54,371;2016;"Argentina"
"29";"Lonomia obliqua";1;-27,259;-54,746;2016;"Argentina"
"30";"Lonomia obliqua";1;-26,132;-54,131;2016;"Argentina"
"31";"Lonomia obliqua";1;-26,063;-54,041;2016;"Argentina"
"32";"Lonomia obliqua";1;-27,13;-54,614;2016;"Argentina"
"33";"Lonomia obliqua";1;-27,094;-54,868;2017;"Argentina"
