"";"species";"coord_model";"lat";"long";"year";"country"
"1";"Lonomia paraobliqua";1;-27,3451;-54,4369;2002;"Argentina"
"2";"Lonomia paraobliqua";1;-27,3451;-54,4369;2002;"Argentina"
"3";"Lonomia obliqua";1;-27,149353;-54,708187;2014;"Argentina"
"4";"Lonomia obliqua";0;-26,737224;-54,4315257;2014;"Argentina"
"5";"Lonomia obliqua";1;-26,343742;-54,155375;2014;"Argentina"
"6";"Lonomia obliqua";1;-26,341322;-54,05115;2014;"Argentina"
"7";"Lonomia obliqua";1;-27,160001;-54,480346;2014;"Argentina"
"8";"Lonomia obliqua";1;-26,7044;-53,917385;2014;"Argentina"
"9";"Lonomia obliqua";1;-27,091948;-54,935352;2015;"Argentina"
"10";"Lonomia obliqua";1;-27,08508;-53,98018;2015;"Argentina"
"11";"Lonomia obliqua";1;-27,667778;-55,043333;2015;"Argentina"
"12";"Lonomia obliqua";1;-27,667778;-55,043333;2015;"Argentina"
"13";"Lonomia obliqua";1;-27,615556;-54,957222;2015;"Argentina"
"14";"Lonomia obliqua";1;-26,442433;-54,141767;2015;"Argentina"
"15";"Lonomia obliqua";0;-26,62032495;-54,1070330037654;2015;"Argentina"
"16";"Lonomia obliqua";0;-26,737224;-54,4315257;2015;"Argentina"
"17";"Lonomia obliqua";1;-27,269444;-54,7325;2015;"Argentina"
"18";"Lonomia obliqua";1;-27,216111;-54,742778;2015;"Argentina"
"19";"Lonomia obliqua";1;-26,218333;-54,061389;2015;"Argentina"
"20";"Lonomia obliqua";1;-26,140874;-53,716916;2015;"Argentina"
"21";"Lonomia obliqua";1;-27,024167;-54,472222;2015;"Argentina"
"22";"Lonomia obliqua";1;-27,020852;-54,55914;2015;"Argentina"
"23";"Lonomia obliqua";1;-27,002;-54,475583;2015;"Argentina"
"24";"Lonomia obliqua";1;-26,94236;-54,40814;2015;"Argentina"
"25";"Lonomia obliqua";1;-26,165694;-53,709443;2016;"Argentina"
"26";"Lonomia obliqua";1;-27,172405;-54,29965;2016;"Argentina"
"27";"Lonomia obliqua";1;-27,1098833;-54,371216;2016;"Argentina"
"28";"Lonomia obliqua";1;-27,258611;-54,746389;2016;"Argentina"
"29";"Lonomia obliqua";1;-26,131944;-54,130556;2016;"Argentina"
"30";"Lonomia obliqua";1;-26,063056;-54,041111;2016;"Argentina"
"31";"Lonomia obliqua";1;-27,13;-54,614444;2016;"Argentina"
"32";"Lonomia obliqua";1;-27,0943056;-54,8678055;2017;"Argentina"
"33";"Lonomia obliqua";1;-26,965927;-54,605202;2017;"Argentina"
"34";"Lonomia obliqua";1;-26,814088;-54,310187;2017;"Argentina"
"35";"Lonomia obliqua";1;-26,266667;-53,925833;2017;"Argentina"
"36";"Lonomia obliqua";1;-26,646175;-53,99274;2017;"Argentina"
"37";"Lonomia obliqua";1;-26,627298;-54,101513;2017;"Argentina"
"38";"Lonomia obliqua";1;-26,49695;-53,93579;2017;"Argentina"
"39";"Lonomia obliqua";1;-27,194167;-54,894444;2018;"Argentina"
"40";"Lonomia obliqua";1;-26,30536;-53,8168;2018;"Argentina"
"41";"Lonomia obliqua";1;-26,165078;-53,710279;2018;"Argentina"
"42";"Lonomia obliqua";1;-26,736443;-54,276552;2018;"Argentina"
"43";"Lonomia obliqua";1;-27,040396;-54,134223;2018;"Argentina"
"44";"Lonomia obliqua";1;-26,127222;-53,943889;2018;"Argentina"
"45";"Lonomia obliqua";1;-26,688667;-54,265367;2018;"Argentina"
"46";"Lonomia obliqua";1;-26,688415;-54,2651;2018;"Argentina"
"47";"Lonomia obliqua";1;-26,628018;-54,106486;2018;"Argentina"
"48";"Lonomia obliqua";1;-26,627298;-54,101513;2018;"Argentina"
"49";"Lonomia obliqua";1;-27,746279;-55,306179;2018;"Argentina"
"50";"Lonomia obliqua";1;-27,14597;-54,7111;2019;"Argentina"
"51";"Lonomia obliqua";1;-27,09769;-54,86228;2019;"Argentina"
"52";"Lonomia obliqua";1;-27,09769;-54,86228;2019;"Argentina"
"53";"Lonomia obliqua";1;-27,09769;-54,86228;2019;"Argentina"
"54";"Lonomia obliqua";1;-27,09769;-54,86228;2019;"Argentina"
"55";"Lonomia obliqua";1;-27,0943056;-54,8678055;2019;"Argentina"
"56";"Lonomia obliqua";1;-27,23392;-54,93103;2019;"Argentina"
"57";"Lonomia obliqua";1;-26,2979167;-53,748777;2019;"Argentina"
"58";"Lonomia obliqua";1;-26,2979167;-53,748777;2019;"Argentina"
"59";"Lonomia obliqua";1;-26,2979167;-53,748777;2019;"Argentina"
"60";"Lonomia obliqua";1;-26,736486;-54,276594;2019;"Argentina"
"61";"Lonomia obliqua";1;-27,406162;-55,00794;2019;"Argentina"
"62";"Lonomia obliqua";1;-25,629628;-54,556103;2019;"Argentina"
"63";"Lonomia obliqua";1;-26,68853;-54,265115;2019;"Argentina"
"64";"Lonomia obliqua";1;-26,6375;-54,132638;2019;"Argentina"
"65";"Lonomia obliqua";1;-26,628538;-54,11371;2019;"Argentina"
"66";"Lonomia obliqua";1;-26,627298;-54,101513;2019;"Argentina"
"67";"Lonomia obliqua";1;-26,627298;-54,101513;2019;"Argentina"
"68";"Lonomia obliqua";1;-26,60456;-54,124098;2019;"Argentina"
"69";"Lonomia obliqua";1;-27,09769;-54,86228;2020;"Argentina"
"70";"Lonomia obliqua";1;-27,23382;-54,93099;2020;"Argentina"
"71";"Lonomia obliqua";1;-27,490139;-55,0425;2020;"Argentina"
"72";"Lonomia obliqua";1;-26,29868;-53,74742;NA;"Argentina"
"73";"Lonomia obliqua";1;-26,6186111;-54,098888;NA;"Argentina"
"74";"Lonomia achelous";1;-16,04044;-67,817131;1984;"Bolivia"
"75";"Lonomia achelous";1;-17,0883248;-65,6763681917787;1984;"Bolivia"
"76";"Lonomia achelous";1;-16,274646;-67,682077;1984;"Bolivia"
"77";"Lonomia achelous";1;-16,055395;-67,610773;1984;"Bolivia"
"78";"Lonomia paraobliqua";1;-16,218;-67,7692;2005;"Bolivia"
"79";"Lonomia paraobliqua";1;-17,317;-64,906;NA;"Bolivia"
